Property_Type,Price (INR Lakhs),Location,Area (sq.ft.),Contact
Villa,374,Kondapur,3571,(115)353-2743x08616
Villa,413,Kondapur,2951,+1-340-930-3769x0409
Apartment,315,Madhapur,4183,9037681028
Apartment,460,Madhapur,1309,(557)976-3775x6879
Villa,125,Hitech City,2448,5135877369
Villa,314,Hitech City,1503,8301288420
Villa,207,Madhapur,1325,344-624-9585x48940
Commercial Space,306,Banjara Hills,2513,(011)375-3469x6196
Villa,408,Kondapur,3886,268.897.6090
Commercial Space,475,Hitech City,3517,3257054674
